Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Filip Majchrowicz,pl POL,GK,25.0,34,34,3060,34.0,53,1.56,142,95,66.2,11,11,12,6,17.6,6,5,1,0,16.7,Matches
Squad Total,,,27.4,34,34,3060,34.0,53,1.56,142,95,66.2,11,11,12,6,17.6,6,5,1,0,16.7,
Opponent Total,,,26.7,34,34,3060,34.0,52,1.53,137,87,63.5,12,11,11,6,17.6,2,2,0,0,0.0,
