Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Valentin Cojocaru,ro ROU,GK,29.0,31,31,2774,30.8,45,1.46,172,128,74.4,13,4,14,7,22.6,2,1,1,0,50.0,Matches
Krzysztof Kamiński,pl POL,GK,34.0,4,3,285,3.2,4,1.26,16,12,75.0,0,2,1,0,0.0,0,0,0,0,,Matches
Squad Total,,,27.3,34,34,3059,34.0,49,1.44,188,140,74.5,13,6,15,7,20.6,2,1,1,0,50.0,
Opponent Total,,,26.8,34,34,3060,34.0,47,1.38,139,98,69.1,15,6,13,7,20.6,7,4,2,1,33.3,
