Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Bartosz Mrozek,pl POL,GK,25.0,33,33,2970,33.0,44,1.33,125,86,67.2,15,12,6,10,30.3,5,3,2,0,40.0,Matches
Plamen Andreev,bg BUL,GK,20.0,1,1,90,1.0,1,1.0,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,Matches
Squad Total,,,25.3,34,34,3060,34.0,45,1.32,127,87,66.9,16,12,6,10,29.4,5,3,2,0,40.0,
Opponent Total,,,26.9,34,34,3060,34.0,62,1.82,194,137,70.6,6,12,16,4,11.8,6,5,1,0,16.7,
