Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Rafał Leszczyński,pl POL,GK,33.0,33,33,2970,33.0,34,1.03,143,112,77.6,12,10,11,7,21.2,3,2,1,0,33.3,Matches
Jakub Burek,pl POL,GK,22.0,1,1,90,1.0,4,4.0,6,2,33.3,0,0,1,0,0.0,0,0,0,0,,Matches
Squad Total,,,29.3,34,34,3060,34.0,38,1.12,149,114,75.8,12,10,12,7,20.6,3,2,1,0,33.3,
Opponent Total,,,26.4,34,34,3060,34.0,34,1.0,113,83,72.6,12,10,12,13,38.2,5,3,2,0,40.0,
