Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Kacper Tobiasz,pl POL,GK,22.0,22,21,1896,21.1,26,1.23,62,40,66.1,4,9,8,6,28.6,5,5,0,0,0.0,Matches
Otto Hindrich,ro ROU,GK,22.0,13,13,1164,12.9,11,0.85,44,33,75.0,8,4,1,6,46.2,0,0,0,0,,Matches
Squad Total,,,27.2,34,34,3060,34.0,37,1.09,106,73,69.8,12,13,9,11,32.4,5,5,0,0,0.0,
Opponent Total,,,26.6,34,34,3060,34.0,42,1.24,136,100,72.8,9,13,12,7,20.6,6,5,1,0,16.7,
