Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Sebastian Madejski,pl POL,GK,28.0,30,30,2700,30.0,34,1.13,107,78,72.0,7,14,9,13,43.3,5,4,1,0,20.0,Matches
Henrich Ravas,sk SVK,GK,27.0,4,4,360,4.0,8,2.0,15,8,60.0,2,1,1,1,25.0,2,2,0,0,0.0,Matches
Squad Total,,,25.9,34,34,3060,34.0,42,1.24,122,86,70.5,9,15,10,14,41.2,7,6,1,0,14.3,
Opponent Total,,,26.7,34,34,3060,34.0,39,1.15,122,86,70.5,10,15,9,10,29.4,4,3,0,1,0.0,
