Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Oliwier Zych,pl POL,GK,21.0,19,18,1644,18.3,22,1.2,73,55,75.3,9,4,5,5,27.8,4,4,0,0,0.0,Matches
Kacper Trelowski,pl POL,GK,21.0,16,16,1416,15.7,18,1.14,53,37,67.9,7,3,6,5,31.3,2,1,1,0,50.0,Matches
Squad Total,,,25.4,34,34,3060,34.0,40,1.18,126,92,72.2,16,7,11,10,29.4,6,5,1,0,16.7,
Opponent Total,,,26.7,34,34,3060,34.0,51,1.5,158,114,72.2,11,7,16,7,20.6,7,7,0,0,0.0,
