Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Alex Paulsen,nz NZL,GK,23.0,24,24,2160,24.0,41,1.71,101,65,64.4,9,4,11,2,8.3,5,5,0,0,0.0,Matches
Szymon Weirauch,pl POL,GK,21.0,9,9,810,9.0,22,2.44,41,21,48.8,3,3,3,1,11.1,2,1,1,0,50.0,Matches
Bohdan Sarnavskyi,ua UKR,GK,30.0,1,1,90,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
Squad Total,,,24.3,34,34,3060,34.0,65,1.91,148,90,60.1,12,7,15,3,8.8,7,6,1,0,14.3,
Opponent Total,,,26.9,34,34,3060,34.0,62,1.82,170,115,67.1,15,7,12,5,14.7,8,6,1,1,14.3,
