Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Marcel Łubik,pl POL,GK,21.0,33,33,2936,32.6,31,0.95,86,61,69.8,16,8,9,10,30.3,6,5,1,0,16.7,Matches
Tomasz Loska,pl POL,GK,29.0,2,1,124,1.4,7,5.08,8,1,12.5,0,0,1,0,0.0,0,0,0,0,,Matches
Squad Total,,,27.2,34,34,3060,34.0,38,1.12,94,62,64.9,16,8,10,10,29.4,6,5,1,0,16.7,
Opponent Total,,,27.0,34,34,3060,34.0,50,1.47,155,108,69.0,10,8,16,10,29.4,3,2,1,0,33.3,
