Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Sławomir Abramowicz,pl POL,GK,21.0,30,30,2700,30.0,36,1.2,122,92,74.6,13,11,6,9,30.0,7,5,1,1,16.7,Matches
Miłosz Piekutowski,pl POL,GK,19.0,4,4,360,4.0,5,1.25,23,18,78.3,2,0,2,1,25.0,0,0,0,0,,Matches
Squad Total,,,25.4,34,34,3060,34.0,41,1.21,145,110,75.2,15,11,8,10,29.4,7,5,1,1,16.7,
Opponent Total,,,26.8,34,34,3060,34.0,56,1.65,179,129,72.1,8,11,15,6,17.6,6,6,0,0,0.0,
