Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Xavier Dziekonski,pl POL,GK,21.0,34,34,3060,34.0,40,1.18,148,114,76.4,11,10,13,9,26.5,6,5,1,0,16.7,Matches
Squad Total,,,25.3,34,34,3060,34.0,40,1.18,148,114,76.4,11,10,13,9,26.5,6,5,1,0,16.7,
Opponent Total,,,26.9,34,34,3060,34.0,40,1.18,117,83,69.2,13,10,11,9,26.5,6,4,2,0,33.3,
