Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Damian Węglarz,pl POL,GK,29.0,27,27,2430,27.0,45,1.67,108,67,60.2,9,6,12,6,22.2,4,2,2,0,50.0,Matches
Jędrzej Grobelny,pl POL,GK,24.0,7,7,630,7.0,16,2.29,41,25,61.0,0,3,4,1,14.3,1,0,0,1,,Matches
Squad Total,,,27.7,34,34,3060,34.0,61,1.79,149,92,60.4,9,9,16,7,20.6,5,2,2,1,50.0,
Opponent Total,,,26.9,34,34,3060,34.0,34,1.0,109,75,68.8,16,9,9,14,41.2,0,0,0,0,,
