Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Adrián Chovan,sk SVK,GK,29.0,22,22,1980,22.0,41,1.86,113,74,65.5,7,4,11,1,4.5,3,2,0,1,0.0,Matches
Miłosz Mleczko,pl POL,GK,26.0,12,12,1080,12.0,24,2.0,70,47,67.1,2,3,7,2,16.7,1,1,0,0,0.0,Matches
Squad Total,,,28.3,34,34,3060,34.0,65,1.91,183,121,66.1,9,7,18,3,8.8,4,3,0,1,0.0,
Opponent Total,,,26.8,34,34,3060,34.0,43,1.26,142,102,72.5,18,7,9,7,20.6,4,4,0,0,0.0,
