Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Ivan Brkić,hr CRO,GK,30.0,27,27,2362,26.2,37,1.41,116,85,72.4,8,12,7,6,22.2,6,5,1,0,16.7,Matches
Gašper Tratnik,si SVN,GK,25.0,8,7,698,7.8,17,2.19,45,28,62.2,2,1,4,2,28.6,0,0,0,0,,Matches
Squad Total,,,26.9,34,34,3060,34.0,54,1.59,161,113,69.6,10,13,11,8,23.5,6,5,1,0,16.7,
Opponent Total,,,26.7,34,34,3060,34.0,46,1.35,125,83,65.6,11,13,10,8,23.5,4,3,1,0,25.0,
