Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Bartłomiej Drągowski,pl POL,GK,27.0,15,15,1350,15.0,12,0.8,35,24,68.6,5,4,6,6,40.0,1,1,0,0,0.0,Matches
Maciej Kikolski,pl POL,GK,21.0,9,9,810,9.0,13,1.44,35,22,62.9,3,1,5,2,22.2,0,0,0,0,,Matches
Veljko Ilic,rs SRB,GK,22.0,8,8,720,8.0,13,1.62,37,24,64.9,3,1,4,1,12.5,0,0,0,0,,Matches
Rafał Gikiewicz,pl POL,GK,37.0,2,2,180,2.0,3,1.5,7,4,57.1,1,0,1,1,50.0,0,0,0,0,,Matches
Squad Total,,,25.4,34,34,3060,34.0,41,1.21,114,74,64.9,12,6,16,10,29.4,1,1,0,0,0.0,
Opponent Total,,,26.8,34,34,3060,34.0,41,1.21,125,89,71.2,16,6,12,10,29.4,5,5,0,0,0.0,
