Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
František Plach,sk SVK,GK,33.0,24,24,2160,24.0,31,1.29,105,77,73.3,8,5,11,7,29.2,3,3,0,0,0.0,Matches
Dominik Holec,sk SVK,GK,31.0,6,6,540,6.0,8,1.33,27,19,70.4,1,3,2,1,16.7,0,0,0,0,,Matches
Karol Szymański,pl POL,GK,32.0,4,4,360,4.0,7,1.75,13,8,61.5,2,0,2,0,0.0,2,2,0,0,0.0,Matches
Squad Total,,,27.2,34,34,3060,34.0,46,1.35,145,104,71.7,11,8,15,8,23.5,5,5,0,0,0.0,
Opponent Total,,,26.7,34,34,3060,34.0,42,1.24,127,92,70.9,15,8,11,10,29.4,8,5,2,1,28.6,
