Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Jasmin Burić,ba BIH,GK,38.0,24,23,2084,23.2,21,0.91,94,75,79.8,9,5,9,10,43.5,3,2,0,1,0.0,Matches
Dominik Hładun,pl POL,GK,29.0,11,11,976,10.8,17,1.57,49,33,67.3,4,4,3,1,9.1,1,1,0,0,0.0,Matches
Squad Total,,,26.8,34,34,3060,34.0,38,1.12,143,108,75.5,13,9,12,11,32.4,4,3,0,1,0.0,
Opponent Total,,,26.9,34,34,3060,34.0,45,1.32,117,78,65.8,12,9,13,11,32.4,6,5,1,0,16.7,
