match_id,round,team,is_home,player,player_id,minute,shot_type,is_goal,situation,body_part,xg,xgot,x,y,goal_mouth_y,goal_mouth_z
13982012,31,Widzew Łódź,False,Lindon Selahi,922945,23,block,False,regular,left-foot,0.040873616933823,0.0,22.6,48.5,50.2,19.0
13982012,31,Legia Warszawa,True,Mileta Rajović,992951,22,miss,False,assisted,head,0.060330115258694,0.0,6.7,42.3,41.7,29.2
13982012,31,Widzew Łódź,False,Sebastian Bergier,913575,14,miss,False,set-piece,head,0.056725047528744,0.0,9.7,54.2,62.2,9.7
13982012,31,Widzew Łódź,False,Emil Kornvig,996685,6,miss,False,assisted,right-foot,0.017580211162567,0.0,24.1,28.9,57.8,6.9
13982012,31,Legia Warszawa,True,Mileta Rajović,992951,3,save,False,fast-break,left-foot,0.12165242433548,0.39596500992775,12.5,38.9,53.1,8.2
13982013,31,Górnik Zabrze,False,Jarosław Kubicki,559968,90,block,False,fast-break,right-foot,0.042303811758757,0.0,25.3,45.2,50.3,19.0
13982013,31,Górnik Zabrze,False,Paweł Olkowski,122833,90,miss,False,fast-break,left-foot,0.049510940909386,0.0,19.4,64.8,57.1,6.9
13982013,31,MZKS Arka Gdynia,True,Sebastian Kerk,146924,88,save,False,regular,left-foot,0.38930028676987,0.23716768622398,9.5,46.2,51.9,18.4
13982013,31,MZKS Arka Gdynia,True,Kamil Jakubczyk,1146194,88,block,False,regular,left-foot,0.077299885451794,0.0,16.4,39.4,51.5,19.0
13982013,31,MZKS Arka Gdynia,True,Sebastian Kerk,146924,88,block,False,assisted,left-foot,0.14125749468803,0.0,13.5,37.6,49.9,19.0
13982013,31,MZKS Arka Gdynia,True,Eduardo Espiau,943253,86,miss,False,assisted,left-foot,0.036836825311184,0.0,14.1,41.7,59.7,73.6
13982013,31,Górnik Zabrze,False,Patrik Hellebrand,865794,85,block,False,corner,right-foot,0.023473234847188,0.0,27.4,46.8,49.8,19.0
13982013,31,Górnik Zabrze,False,Maksym Khlan,1006091,84,block,False,corner,left-foot,0.018110321834683,0.0,27.8,62.7,48.7,19.0
13982013,31,Górnik Zabrze,False,Patrik Hellebrand,865794,79,save,False,regular,right-foot,0.020050564780831,0.0090251611545682,24.7,33.6,49.9,24.1
13982013,31,MZKS Arka Gdynia,True,Dawid Kocyła,991278,53,miss,False,fast-break,right-foot,0.0954609811306,0.0,12.8,32.5,41.7,63.9
13982013,31,Górnik Zabrze,False,Lukáš Sadílek,280637,50,miss,False,corner,left-foot,0.1396226733923,0.0,3.4,56.7,39.0,50.0
13982013,31,Górnik Zabrze,False,Paweł Olkowski,122833,49,block,False,assisted,right-foot,0.031076738610864,0.0,23.4,66.9,53.3,19.0
13982013,31,Górnik Zabrze,False,Maksym Khlan,1006091,47,miss,False,fast-break,right-foot,0.078393891453743,0.0,20.7,41.3,38.0,19.4
13982013,31,MZKS Arka Gdynia,True,Dawid Kocyła,991278,47,save,False,assisted,left-foot,0.1239230632782,0.31680178642273,5.1,35.6,50.7,17.1
13982013,31,Górnik Zabrze,False,Rafał Janicki,133544,45,save,False,corner,right-foot,0.33382672071457,0.0,5.1,48.7,45.8,19.0
13982013,31,Górnik Zabrze,False,Maksym Khlan,1006091,43,miss,False,assisted,right-foot,0.074426889419556,0.0,19.9,36.9,42.4,12.5
13982013,31,Górnik Zabrze,False,Lukáš Sadílek,280637,36,miss,False,regular,right-foot,0.047813683748245,0.0,11.1,26.8,56.6,4.2
13982013,31,MZKS Arka Gdynia,True,Kike Hermoso,990802,35,miss,False,set-piece,right-foot,0.22131159901619,0.0,6.0,49.9,52.3,63.9
